"key","description","expl_completed","reviewed"
"cm.cm_tenor_params","Stores tenor configurations per security type ??? driving automated issuance calendar generation, issue-code naming conventions, and tenor bucketing rules for reopened SGS Bonds.","False","False"
"cm.cm_tenor_params_t","Stores the transactional/history audit data of cm_tenor_params.","False","False"
"cm.cm_user_role_group_assign","Assigns each internal user to one or more role groups, controlling the user's effective permissions in OMEGA.","True","False"
"cm.cm_user_role_group_assign_t","Stores the transactional/history audit data of cm_user_role_group_assign.","True","False"
"cm.cm_user_tbl","Stores the master record of OMEGA users (internal MAS staff and external counterparty users), linked to IAM and the parent counterparty.","True","False"
"cm.cm_user_tbl_t","Stores the transactional/history audit data of cm_user_tbl.","True","False"
"iss.cm_applicant_submission_group_t","Stores the transactional/history audit data of cm_applicant_submission_group.","True","False"
"iss.iss_announcement_details","Stores the announcement details of upcoming issuances, acting as the source data for announcement publication on the MAS website.","False","False"
"iss.iss_announcement_details_t","Stores the transactional/history audit data of iss_announcement_details.","False","False"
"iss.iss_announcement_stepup_rates","Stores the announced step-up coupon rates per year for SSB issuance announcements.","False","False"
"iss.iss_announcement_stepup_rates_t","Stores the transactional/history audit data of iss_announcement_stepup_rates.","True","False"
"iss.iss_auction_run","Stores the execution parameters and outcomes for a non-SSB Uniform Price Auction run.","False","False"
"iss.iss_auction_run_t","Stores the transactional/history audit data of iss_auction_run.","False","False"
"iss.iss_auction_safeguard","Stores the configured safeguard configurations for Uniform Price Auctions.","False","False"
"iss.iss_auction_safeguard_t","Stores the transactional/history audit data of iss_auction_safeguard.","False","False"
"iss.iss_bid_institutional","Stores all institutional competitive and non-competitive bids submitted by Primary Dealers (PDs) and institutions for an auction.","False","False"
"iss.iss_bid_institutional_t","Stores the transactional/history audit data of iss_bid_institutional.","False","False"
"iss.iss_bid_retail","Stores the retail applications submitted by individual investors for SGS Bonds and T-Bills.","False","False"
"iss.iss_bid_retail_t","Stores the transactional/history audit data of iss_bid_retail.","False","False"
"iss.iss_bid_submission_end_mapping","Stores the mapping that links a bid window extension request to the specific auction issuances affected by the extension.","False","False"
"iss.iss_bid_submission_end_mapping_t","Stores the transactional/history audit data of iss_bid_submission_end_mapping.","True","False"
"iss.iss_bid_submission_end_time","Stores the proposed new closing times, justifications, and workflow statuses for bid submission window extension requests.","False","False"
"iss.iss_bid_submission_end_time_t","Stores the transactional/history audit data of iss_bid_submission_end_time.","True","False"
"iss.iss_bid_submission_group","Stores the bid submission groups (batches) that aggregate individual bids submitted by a Primary Dealer or bank for a given issuance, tracked through the maker-checker workflow.","False","False"
"iss.iss_bid_submission_group_t","Stores the transactional/history audit data of iss_bid_submission_group.","True","False"
"iss.iss_calendar_data","Stores the issuance calendar details for every individual issuance planned within a calendar period.","False","False"
"iss.iss_calendar_data_t","Stores the transactional/history audit data of iss_calendar_data.","False","False"
"iss.iss_calendar_listing","Stores the header information of an issuance calendar.","True","False"
"iss.iss_calendar_listing_t","Stores the transactional/history audit data of iss_calendar_listing.","True","False"
"iss.iss_issuance","Stores single source of truth for issuance-level details of a security.","False","False"
"iss.iss_issuance_stepup_rates","Stores the finalized step-up coupon rates and payment schedule per year for SSB issuances.","False","False"
"iss.iss_issuance_stepup_rates_t","Stores the transactional/history audit data of iss_issuance_stepup_rates.","True","False"
"iss.iss_issuance_t","Stores the transactional/history audit data of iss_issuance.","False","False"
"iss.iss_participating_dealers","Stores the mapping of authorized Primary Dealers permitted to submit bids for a specific announcement.","False","True"
"iss.iss_participating_dealers_t","Stores the transactional/history audit data of iss_participating_dealers.","True","False"
"iss.iss_sb_allotment_run","Stores the execution parameters and outcomes for a SSB Quantity Ceiling allotment run.","False","False"
"iss.iss_sb_allotment_run_t","Stores the transactional/history audit data of iss_sb_allotment_run.","False","False"
"iss.iss_sb_applicant","Stores the SSB retail applicant identity profiles, capturing NRIC/passport, name, and nationality for Singapore Savings Bond subscriptions.","False","False"
"iss.iss_sb_applicant_t","Stores the transactional/history audit data of iss_sb_applicant.","True","False"
"iss.iss_sb_holdings","Stores the current Singapore Savings Bond holdings of retail investors, tracking funding source, custody account, and SGD face value held.","False","False"
"iss.iss_sb_holdings_t","Stores the transactional/history audit data of iss_sb_holdings.","True","False"
"iss.iss_sb_redemption","Stores the individual SSB redemption requests submitted by retail applicants through their banks, tracking processing state and final redeemed amounts.","False","False"
"iss.iss_sb_redemption_t","Stores the transactional/history audit data of iss_sb_redemption.","False","False"
"iss.iss_sb_subscription","Stores the retail applications submitted by individual investors specifically for SSB.","False","False"
"iss.iss_sb_subscription_t","Stores the transactional/history audit data of iss_sb_subscription.","False","False"
"iss.iss_security_master","Stores the master security definitions for issued securities, capturing identification (codes, ISIN), classification, and coupon/tender attributes.","False","False"
"iss.iss_security_master_t","Stores the transactional/history audit data of iss_security_master.","False","False"
"iss.iss_synd_allotment_run","Stores the syndication allotment run executions, tracking applied/allotted amounts across public offer and placement tranches.","False","False"
"iss.iss_synd_allotment_run_t","Stores the transactional/history audit data of iss_synd_allotment_run.","False","False"
"stg.stg_agd_out_it030048","Staging table that stores the raw text data parsed from the IT030048 transaction file (AGD outgoing CASH subscription).","False","False"
"stg.stg_agd_out_it032048","Staging table that stores the raw text data parsed from the IT032048 transaction file (AGD outgoing CASH subscription override).","False","False"
"stg.stg_agd_out_it040048","Staging table that stores the raw text data parsed from the IT040048 transaction file (AGD outgoing CPF subscription).","False","False"
"stg.stg_agd_out_it042048","Staging table that stores the raw text data parsed from the IT042048 transaction file (AGD outgoing CPF subscription override).","False","False"
"stg.stg_agd_out_it050048","Staging table that stores the raw text data parsed from the IT050048 transaction file (AGD outgoing SRS subscription).","False","False"
"stg.stg_agd_out_it052048","Staging table that stores the raw text data parsed from the IT052048 transaction file (AGD outgoing SRS subscription override).","False","False"
"stg.stg_eapps_in_closingprice","Staging table that stores the raw text data parsed from the incoming Closing Price file from eApps.","False","False"
"stg.stg_eapps_out_secupdt","Staging table that stores the raw text data parsed from the outgoing Securities Update file to eApps.","False","False"
"stg.stg_fi_in_ea_ap","Staging table that stores the raw text data parsed from the incoming Auction Application file from FI.","False","False"
"stg.stg_fi_in_sb_ap","Staging table that stores the raw text data parsed from the incoming SSB Subscription Application file from FI.","False","False"
"stg.stg_fi_in_sb_hol","Staging table that stores the raw text data parsed from the incoming SSB Holdings file from FI.","False","False"
"stg.stg_fi_in_sb_re","Staging table that stores the raw text data parsed from the incoming SSB Redemption Application file from FI.","False","False"
"stg.stg_fi_out_cal","Staging table that stores the raw text data parsed from the outgoing Issuance Calendar file to FI.","False","False"
"stg.stg_fi_out_ea_aa","Staging table that stores the raw text data parsed from the outgoing Auction Allotment Application file to FI.","False","False"
"stg.stg_fi_out_ea_ra","Staging table that stores the raw text data parsed from the outgoing Auction Result Application file to FI.","False","False"
"stg.stg_fi_out_es_ra","Staging table that stores the raw text data parsed from the outgoing Eligible Securities Result Application file to FI.","False","False"
"stg.stg_fi_out_ins_ea_ra","Staging table that stores the raw text data parsed from the outgoing Institutional Auction Result Application file to FI.","False","False"
"stg.stg_fi_out_sb_aa","Staging table that stores the raw text data parsed from the outgoing SSB Allotment Application file to FI.","False","False"
"stg.stg_fi_out_sb_ah","Staging table that stores the raw text data parsed from the outgoing SSB Allotment History file to FI.","False","False"
"stg.stg_fi_out_sb_ar","Staging table that stores the raw text data parsed from the outgoing SSB Allotment Result file to FI.","False","False"
"stg.stg_fi_out_sb_cpn","Staging table that stores the raw text data parsed from the outgoing SSB Coupon file to FI.","False","False"
"stg.stg_fi_out_sb_ra","Staging table that stores the raw text data parsed from the outgoing SSB Redemption Application file to FI.","False","False"
"stg.stg_fi_out_sb_rr","Staging table that stores the raw text data parsed from the outgoing SSB Redemption Result file to FI.","False","False"
"stg.stg_fmbs_out_auction","Staging table that stores the raw text data parsed from the outgoing Auction file to FMBS.","False","False"
"stg.stg_fmbs_out_closingprice","Staging table that stores the raw text data parsed from the outgoing Closing Price file to FMBS.","False","False"
"stg.stg_fmbs_out_erf","Staging table that stores the raw text data parsed from the outgoing ERF file to FMBS.","False","False"
"stg.stg_fmbs_out_erf_agg_bids","Staging table that stores the raw text data parsed from the outgoing ERF Aggregated Bids file to FMBS.","False","False"
"stg.stg_fmbs_out_secupdt","Staging table that stores the raw text data parsed from the outgoing Securities Update file to FMBS.","False","False"
"stg.stg_meps_in_bank","Staging table that stores the raw text data parsed from the incoming Daily Bank List file from MEPS+.","False","False"
"stg.stg_meps_in_couponrates","Staging table that stores the raw text data parsed from the incoming Coupon Rates file from MEPS+.","False","False"
"stg.stg_meps_in_secint","Stores the raw text data parsed directly from the incoming MEPS+ Daily Securities Update File (secint.txt)","True","False"
"stg.stg_meps_in_secmast","Stores the raw text data parsed directly from the incoming MEPS+ New Issuance / Reopening of Securities File (secmast.txt)","True","False"
"stg.stg_meps_out_auction","(Click to add)","False","False"
"stg.stg_meps_out_auction_sbond","Staging table that stores the raw text data parsed from the outgoing SGS Bond Auction file to MEPS+.","False","False"
"stg.stg_meps_out_closingprice","(Click to add)","False","False"
"stg.stg_meps_out_rdmpartial_sbond","Staging table that stores the raw text data parsed from the outgoing SGS Bond Partial Redemption file to MEPS+.","False","False"
"stg.stg_meps_out_secupdt","Staging table that stores the raw text data parsed from the outgoing Securities Update file to MEPS+.","False","False"
